[6990 131105-15:40:13.868] INFO: load service log ok
[6990 131105-15:40:13.868] INFO: host log level DEBUG
[6990 131105-15:40:13.868] INFO: load service dispatcher ok
[6990 131105-15:40:13.868] INFO: load service node ok
[6990 131105-15:40:13.868] INFO: load service centerc ok
[6990 131105-15:40:13.868] INFO: load service cmdctl ok
[6990 131105-15:40:13.868] INFO: load service world ok
[6990 131105-15:40:13.868] INFO: load service gamematch ok
[6990 131105-15:40:13.868] INFO: load service playerdb ok
[6990 131105-15:40:13.868] INFO: node register, NODE[world0000,T03,C-001,L0.0.0.0:0,N127.0.0.1:8300,G0.0.0.0:0]
[6990 131105-15:40:13.868] INFO: listen on 127.0.0.1:8300
[6990 131105-15:40:13.868] INFO: connect to 127.0.0.1:8000 ...
[6990 131105-15:40:13.868] INFO: connect to center ok
[6990 131105-15:40:13.868] INFO: load tplt: ./res/tbl/roledata.tbl
[6990 131105-15:40:13.868] INFO: Shaco start
[6990 131105-15:40:32.530] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:41:29.081] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:41:29.082] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:41:29.082] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:41:29.083] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:41:32.557] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:41:32.557] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:41:32.558] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:41:32.558] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:41:33.773] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:41:33.773] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:41:33.774] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:41:33.774] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:41:34.621] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:41:34.621] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:41:34.622] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:41:34.622] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:41:35.405] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:41:35.405] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:41:35.406] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:41:35.406] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:41:36.245] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:41:36.245] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:41:36.246] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:41:36.246] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:41:37.109] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:41:37.109] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:41:37.110] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:41:37.110] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:41:38.208] DEBUG: Receive msg:12, from gate, to service:world
[6990 131105-15:41:38.208] DEBUG: Receive msg:21, from redisproxy, to service:playerdb
[6990 131105-15:41:38.209] DEBUG: Receive msg:12, from gate, to service:world
